name,mdn_url,firefox_version_added,firefox_flags,chrome_version_added,chrome_flags,safari_version_added,safari_flags,status_experimental,status_standard_track,status_deprecated,spec_url,org
api/AudioBufferSourceNode/loopStart,,25,,24,,7,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffersourcenode-loopstart,W3C
api/AudioBufferSourceNode/playbackRate,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffersourcenode-playbackrate,W3C
api/AudioBufferSourceNode/start,,25,,24,,7,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffersourcenode-start,W3C
api/AudioContext,,25,,35,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#AudioContext,W3C
api/AudioContext/AudioContext,,25,,35,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-audiocontext,W3C
api/AudioContext/AudioContext/options_latencyHint_parameter,,,,58,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontextoptions-latencyhint,W3C
api/AudioContext/AudioContext/options_sampleRate_parameter,,61,,74,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontextoptions-samplerate,W3C
api/AudioContext/AudioContext/options_sinkId_parameter,,,,110,,,,true,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontextoptions-sinkid,W3C
api/AudioContext/baseLatency,,70,,58,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-baselatency,W3C
api/AudioContext/close,,40,,42,,9,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-close,W3C
api/AudioContext/createMediaElementSource,,25,,15,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-createmediaelementsource,W3C
api/AudioContext/createMediaStreamDestination,,25,,25,,11,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-createmediastreamdestination,W3C
api/AudioContext/createMediaStreamSource,,25,,22,,11,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-createmediastreamsource,W3C
api/AudioContext/createMediaStreamTrackSource,,68,,,,,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-createmediastreamtracksource,W3C
api/AudioContext/getOutputTimestamp,,70,,57,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-getoutputtimestamp,W3C
api/AudioContext/outputLatency,,70,,102,,,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-outputlatency,W3C
api/AudioContext/resume,,40,,41,,9,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-resume,W3C
api/AudioContext/setSinkId,,,,110,,,,true,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-setsinkid,W3C
api/AudioContext/sinkId,,,,110,,,,true,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-sinkid,W3C
api/AudioContext/sinkchange_event,,,,110,,,,true,true,false,https://webaudio.github.io/web-audio-api/#eventdef-audiocontext-sinkchange,W3C
api/AudioContext/suspend,,40,,41,,9,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiocontext-suspend,W3C
api/AudioData,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#audiodata-interface,W3C
api/AudioData/AudioData,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-audiodata,W3C
api/AudioData/allocationSize,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-allocationsize,W3C
api/AudioData/clone,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-clone,W3C
api/AudioData/close,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-close,W3C
api/AudioData/copyTo,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-copyto,W3C
api/AudioData/duration,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-duration,W3C
api/AudioData/format,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-format,W3C
api/AudioData/numberOfChannels,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-numberofchannels,W3C
api/AudioData/numberOfFrames,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-numberofframes,W3C
api/AudioData/sampleRate,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-samplerate,W3C
api/AudioData/timestamp,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodata-timestamp,W3C
api/AudioDecoder,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#audiodecoder-interface,W3C
